Pressure [Pa]	Gas Volume Fraction [-]	Oil Volume Fraction [-]	Water Volume Fraction [-]	Mixture Velocity [m/s]	Gas Velocity [m/s]	Oil Velocity [m/s]	Water Velocity [m/s]
1001717.079	0.4996538865	0	0.5003461135	0.9487185506	0.04430770479	0.9538200279	0.9529343382
1001727.255	0.4996518049	0	0.5003481951	0.9486722127	0.04424614751	0.9537737344	0.9528880789
1001737.431	0.4996497232	0	0.5003502768	0.9486256128	0.04418421368	0.9537271793	0.9528415583
1001747.607	0.4996476416	0	0.5003523584	0.9485787511	0.04412190319	0.9536803625	0.9527947763
1001757.784	0.49964556	0	0.50035444	0.9485316273	0.04405921597	0.953633284	0.9527477328
1001767.96	0.4996434784	0	0.5003565216	0.9484842415	0.04399615191	0.9535859437	0.9527004278
1001778.136	0.4996413968	0	0.5003586032	0.9484365935	0.04393271093	0.9535383416	0.9526528611
1001788.312	0.4996393153	0	0.5003606847	0.9483886833	0.04386889294	0.9534904776	0.9526050329
1001798.487	0.4996372338	0	0.5003627662	0.9483405109	0.04380469786	0.9534423516	0.9525569429
1001808.663	0.4996351524	0	0.5003648476	0.9482920762	0.04374012559	0.9533939636	0.9525085911
1001818.839	0.4996330709	0	0.5003669291	0.9482433791	0.04367517605	0.9533453136	0.9524599775
1001829.015	0.4996309896	0	0.5003690104	0.9481944196	0.04360984915	0.9532964014	0.952411102
1001839.19	0.4996289082	0	0.5003710918	0.9481451977	0.04354414482	0.953247227	0.9523619646
1001849.366	0.4996268269	0	0.5003731731	0.9480957132	0.04347806296	0.9531977903	0.9523125652
1001859.541	0.4996247457	0	0.5003752543	0.948045966	0.0434116035	0.9531480914	0.9522629037
1001869.716	0.4996226644	0	0.5003773356	0.9479959563	0.04334476635	0.9530981301	0.9522129801
1001879.892	0.4996205833	0	0.5003794167	0.9479456839	0.04327755144	0.9530479064	0.9521627944
1001890.067	0.4996185021	0	0.5003814979	0.9478951487	0.04320995869	0.9529974203	0.9521123464
1001900.241	0.4996164211	0	0.5003835789	0.9478443507	0.04314198801	0.9529466716	0.9520616362
1001910.416	0.49961434	0	0.50038566	0.9477932898	0.04307363934	0.9528956604	0.9520106636
1001920.591	0.4996122591	0	0.5003877409	0.947741966	0.04300491259	0.9528443865	0.9519594287
